SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
btplaindhi,btplaindhiBeigeXL,Beige,XL,6,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,In stock,
,btplaindhiBeigeL,Beige,L,4,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiPurpleXL,Purple,XL,6,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiPurpleL,Purple,L,4,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiOrangeXL,Orange,XL,2,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiOrangeL,Orange,L,2,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiRedXL,Red,XL,8,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiRedL,Red,L,6,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiBlackXL,Black,XL,8,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
,btplaindhiBlackL,Black,L,6,Yangkar Chupa,,Chupa,¥108.00,$15.00,$70.00,$55.00,466.70%,,,
btfullGuchen,btfullGuchenBurgundyXL,Burgundy,XL,2,Yangkar Chupa,Bhod Thakchen,Chupa,¥90.00,$12.50,$75.00,$62.50,600.04%,,Temporarily unavailable,
,btfullGuchenBurgundyL,Burgundy,L,1,Yangkar Chupa,,Chupa,¥90.00,$12.50,$75.00,$62.50,600.04%,,,
,btfullGuchenPurpleXL,Purple,XL,2,Yangkar Chupa,,Chupa,¥90.00,$12.50,$75.00,$62.50,600.04%,,,
,btfullGuchenPurpleL,Purple,L,1,Yangkar Chupa,,Chupa,¥90.00,$12.50,$75.00,$62.50,600.04%,,,
,btfullGuchenBrownXL,Brown,XL,2,Yangkar Chupa,,Chupa,¥90.00,$12.50,$75.00,$62.50,600.04%,,,
,btfullGuchenBlackL,Black,L,1,Yangkar Chupa,,Chupa,¥90.00,$12.50,$75.00,$62.50,600.04%,,,
dfLhasaOG,dfLhasaOGGreenL,Green,L,4,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,Re-purchase needed,
,dfLhasaOGGreenXL,Green,XL,4,Classic Lhasa Chupa,,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
,dfLhasaOGBlueXL,Blue,XL,4,Classic Lhasa Chupa,,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
,dfLhasaOGBlueL,Blue,L,4,Classic Lhasa Chupa,,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
,dfLhasaOGOrangeXL,Orange,XL,4,Classic Lhasa Chupa,,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
,dfLhasaOGOrangeL,Orange,L,4,Classic Lhasa Chupa,,Chupa,¥145.00,$20.14,$65.00,$44.86,322.78%,,,
ptlMetok,ptlMetokRedXL,Red,XL,6,Metok Wonju,Phama Tsering Logya,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokRedL,Red,L,4,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokBlueXL,Blue,XL,5,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokBlueL,Blue,L,5,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokBlackXXL,Black,XXL,6,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokBlackXL,Black,XL,4,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokWhiteXL,White,XL,2,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokWhiteXXL,White,XXL,4,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokBrownXXL,Brown,XXL,3,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
,ptlMetokBrownXL,Brown,XL,3,Metok Wonju,,Wonju,¥53.00,$7.36,$35.00,$27.64,475.50%,,,
ptlFold,ptlFoldBlackCreamXL,BlackCream,XL,5,Metok Fold Chupa,Phama Tsering Logya,Chupa,¥190.00,$26.39,$75.00,$48.61,284.23%,,,
,ptlFoldBlueCreamXL,BlueCream,XL,5,Metok Fold Chupa,,Chupa,¥190.00,$26.39,$75.00,$48.61,284.23%,,,
,ptlFoldRedBrownXL,RedBrown,XL,5,Metok Fold Chupa,,Chupa,¥190.00,$26.39,$75.00,$48.61,284.23%,,,
tbPlainWonju,tbPlainWonjuWhiteXL,White,XL,8,Plain Wonju,TaoBao,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuRedXL,Red,XL,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuBrownXL,Brown,XL,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuBurgundyXL,Burgundy,XL,7,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuBlueXL,Blue,XL,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuGreenXL,Green,XL,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuWhiteL,White,L,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuRedL,Red,L,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuBrownL,Brown,L,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuBurgundyL,Burgundy,L,9,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuBlueL,Blue,L,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
,tbPlainWonjuGreenL,Green,L,8,Plain Wonju,,Wonju,¥58.00,$8.06,$30.00,$21.94,372.44%,,,
gcPachap,gcPachapMan,Man,N/A,0,,Gyencha,Jewelry,¥120.00,$16.67,$40.00,$23.33,240.01%,,Sold out,
