ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
6/22/2025,1,Chupa,plaindhi,Beige,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,6,6,btplaindhi,btplaindhiBeigeXL,,¥648.00,$90.73,
6/22/2025,1,Chupa,plaindhi,Beige,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,4,4,btplaindhi,btplaindhiBeigeL,,¥432.00,$60.49,
6/22/2025,1,Chupa,plaindhi,Brown,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,6,6,btplaindhi,btplaindhiBrownXL,,¥648.00,$90.73,
6/22/2025,1,Chupa,plaindhi,Brown,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,4,4,btplaindhi,btplaindhiBrownL,,¥432.00,$60.49,
6/22/2025,1,Chupa,plaindhi,Orange,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,2,2,btplaindhi,btplaindhiOrangeXL,,¥216.00,$30.24,
6/22/2025,1,Chupa,plaindhi,Orange,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,2,2,btplaindhi,btplaindhiOrangeL,,¥216.00,$30.24,
6/22/2025,1,Chupa,plaindhi,Red,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,8,8,btplaindhi,btplaindhiRedXL,,¥864.00,$120.98,
6/22/2025,1,Chupa,plaindhi,Red,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,6,6,btplaindhi,btplaindhiRedL,,¥648.00,$90.73,
6/22/2025,1,Chupa,plaindhi,Black,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,8,8,btplaindhi,btplaindhiBlackXL,,¥864.00,$120.98,
6/22/2025,1,Chupa,plaindhi,Black,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.12,TRUE,6,6,btplaindhi,btplaindhiBlackL,,¥648.00,$90.73,
6/22/2025,1,Chupa,fullGuchen,Burgundy,XL,Bhod Thakchen,Guchen Chupa,¥90.00,$12.60,TRUE,2,2,btfullGuchen,btfullGuchenBurgundyXL,,¥180.00,$25.20,
6/22/2025,1,Chupa,fullGuchen,Burgundy,L,Bhod Thakchen,Guchen Chupa,¥90.00,$12.60,TRUE,1,1,btfullGuchen,btfullGuchenBurgundyL,,¥90.00,$12.60,
6/22/2025,1,Chupa,fullGuchen,Purple,XL,Bhod Thakchen,Guchen Chupa,¥90.00,$12.60,TRUE,2,2,btfullGuchen,btfullGuchenPurpleXL,,¥180.00,$25.20,
6/22/2025,1,Chupa,fullGuchen,Purple,L,Bhod Thakchen,Guchen Chupa,¥90.00,$12.60,TRUE,1,1,btfullGuchen,btfullGuchenPurpleL,,¥90.00,$12.60,
6/22/2025,1,Chupa,fullGuchen,Brown,XL,Bhod Thakchen,Guchen Chupa,¥90.00,$12.60,TRUE,2,2,btfullGuchen,btfullGuchenBrownXL,,¥180.00,$25.20,
6/22/2025,1,Chupa,fullGuchen,Black,L,Bhod Thakchen,Guchen Chupa,¥90.00,$12.60,TRUE,1,1,btfullGuchen,btfullGuchenBlackL,,¥90.00,$12.60,
6/27/2025,1,Chupa,LhasaOG,Green,L,DeFish,Classic Lhasa Chupa,¥145.00,$20.30,TRUE,4,4,dfLhasaOG,dfLhasaOGGreenL,,¥580.00,$81.21,
6/27/2025,1,Chupa,LhasaOG,Green,XL,DeFish,Classic Lhasa Chupa,¥145.00,$20.30,TRUE,4,4,dfLhasaOG,dfLhasaOGGreenXL,,¥580.00,$81.21,
6/27/2025,1,Chupa,LhasaOG,Blue,XL,DeFish,Classic Lhasa Chupa,¥145.00,$20.30,TRUE,4,4,dfLhasaOG,dfLhasaOGBlueXL,,¥580.00,$81.21,
6/27/2025,1,Chupa,LhasaOG,Blue,L,DeFish,Classic Lhasa Chupa,¥145.00,$20.30,TRUE,4,4,dfLhasaOG,dfLhasaOGBlueL,,¥580.00,$81.21,
6/27/2025,1,Chupa,LhasaOG,Orange,XL,DeFish,Classic Lhasa Chupa,¥145.00,$20.30,TRUE,4,4,dfLhasaOG,dfLhasaOGOrangeXL,,¥580.00,$81.21,
6/27/2025,1,Chupa,LhasaOG,Orange,L,DeFish,Classic Lhasa Chupa,¥145.00,$20.30,TRUE,4,4,dfLhasaOG,dfLhasaOGOrangeL,,¥580.00,$81.21,
6/22/2025,1,Jewelry,smallPachap,Chain,N/A,Gyencha,Gachung Pachap,¥40.00,$5.60,TRUE,15,15,gcsmallPachap,gcsmallPachapChain,,¥600.00,$84.01,
6/27/2025,1,Jewelry,Knife,Girl,N/A,Gyencha,Girl's Decor Dagger,¥30.00,$4.20,TRUE,5,5,gcKnife,gcKnifeGirl,,¥150.00,$21.00,
6/27/2025,1,Jewelry,Ornament,Dropchain,N/A,Gyencha,Kapshop Ornament,¥26.00,$3.64,TRUE,10,10,gcOrnament,gcOrnamentDropchain,,¥260.00,$36.41,
6/27/2025,1,Jewelry,LapChain3,darksilverg,N/A,Gyencha,3 Chain Lap Rack,¥45.00,$6.30,TRUE,3,3,gcLapChain3,gcLapChain3darksilverg,,¥135.00,$18.90,
6/27/2025,1,Jewelry,LapChain3,lightsilverg,N/A,Gyencha,3 Chain Lap Rack,¥45.00,$6.30,TRUE,3,3,gcLapChain3,gcLapChain3lightsilverg,,¥135.00,$18.90,
6/27/2025,1,Jewelry,LapChain2,silverc,N/A,Gyencha,Single Lap Chain,¥25.00,$3.50,TRUE,20,20,gcLapChain2,gcLapChain2silverc,,¥500.00,$70.01,
6/27/2025,1,Jewelry,Lulong,Hanging,N/A,Gyencha,White Lulong Pair,¥80.00,$11.18,TRUE,5,5,gcLulong,gcLulongHanging,,¥400.00,$55.90,"* quantity pertains to pairs, reciept refers to individual"
6/27/2025,1,Jewelry,Gyenrak,AllRound,N/A,Gyencha,All-Round Kapshop,¥35.00,$4.90,TRUE,10,10,gcGyenrak,gcGyenrakAllRound,,¥350.00,$49.01,
6/27/2025,1,Jewelry,lodeekapshop,blackaddon,N/A,Gyencha,Lodee Kapshop Addon Pair,¥26.00,$3.64,TRUE,6,6,gclodeekapshop,gclodeekapshopblackaddon,,¥156.00,$21.84,"* quantity pertains to pairs, reciept refers to individual"
6/27/2025,1,Jewelry,Pachap,Man,N/A,Gyencha,Phosar Mecha,¥120.00,$16.80,TRUE,5,5,gcPachap,gcPachapMan,,¥600.00,$84.01,
6/27/2025,1,Jewelry,SPinkap,Small,N/A,Gyencha,Pinkap,¥7.00,$0.98,TRUE,16,16,gcSPinkap,gcSPinkapSmall,,¥112.00,$15.68,
6/27/2025,1,Jewelry,BPinkap,Big,N/A,Gyencha,Pinkap,¥8.00,$1.12,TRUE,6,6,gcBPinkap,gcBPinkapBig,,¥48.00,$6.72,
6/27/2025,1,Jewelry,CoralStack,Black,N/A,Gyencha,Stack Coral Earring,¥28.00,$3.92,TRUE,11,11,gcCoralStack,gcCoralStackBlack,,¥308.00,$43.13,
6/27/2025,1,Jewelry,CoralStack,White,N/A,Gyencha,Stack Coral Earring,¥28.00,$3.92,TRUE,9,9,gcCoralStack,gcCoralStackWhite,,¥252.00,$35.29,
6/27/2025,1,Jewelry,SweetSilv,Coral,N/A,Gyencha,Silver Gachung Earring,¥8.00,$1.12,TRUE,12,12,gcSweetSilv,gcSweetSilvCoral,,¥96.00,$13.44,*pertain to pairs
6/27/2025,1,Jewelry,SweetSilv,Turqouise,N/A,Gyencha,Silver Gachung Earring,¥8.00,$1.12,TRUE,12,12,gcSweetSilv,gcSweetSilvTurqouise,,¥96.00,$13.44,*pertain to pairs
6/27/2025,1,Jewelry,roundEarring,Golden Coral,N/A,Gyencha,Golden Coral Button Earring,¥7.00,$0.98,TRUE,15,15,gcroundEarring,gcroundEarringGolden Coral,,¥105.00,$14.70,
6/27/2025,1,Jewelry,stackEarring,Red3Stack,N/A,Gyencha,Golden Dangle Earring,¥15.00,$2.10,TRUE,1,1,gcstackEarring,gcstackEarringRed3Stack,,¥15.00,$2.10,
6/27/2025,1,Jewelry,stackEarring,Blue3Stack,N/A,Gyencha,Golden Dangle Earring,¥15.00,$2.10,TRUE,1,1,gcstackEarring,gcstackEarringBlue3Stack,,¥15.00,$2.10,
7/10/2025,1,Jewelry,BCharma,BigSilver,N/A,Gyencha,Charma,¥90.00,$12.60,TRUE,3,3,gcBCharma,gcBCharmaBigSilver,,¥270.00,$37.81,
7/10/2025,1,Jewelry,SCharma,SmallGold,N/A,Gyencha,Charma,¥85.00,$11.90,TRUE,5,5,gcSCharma,gcSCharmaSmallGold,,¥425.00,$59.51,
6/22/2025,1,Wonju,Metok,Red,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,6,6,ptlMetok,ptlMetokRedXL,,¥318.00,$44.53,
6/22/2025,1,Wonju,Metok,Red,L,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,4,4,ptlMetok,ptlMetokRedL,,¥212.00,$29.68,
6/22/2025,1,Wonju,Metok,Blue,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,5,5,ptlMetok,ptlMetokBlueXL,,¥265.00,$37.11,
6/22/2025,1,Wonju,Metok,Blue,L,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,5,5,ptlMetok,ptlMetokBlueL,,¥265.00,$37.11,
6/22/2025,1,Wonju,Metok,Black,XXL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,6,6,ptlMetok,ptlMetokBlackXXL,,¥318.00,$44.53,
6/22/2025,1,Wonju,Metok,Black,XL,Phama Tsering Logya,Metok Wonju,¥53.00,$7.42,TRUE,4,4,ptlMetok,ptlMetokBlackXL,,¥212.00,$29.68,
