ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
6/22/2025,1,Chupa,plaindhi,Beige,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,6,6,btplaindhi,btplaindhiBeigeXL,,¥648.00,$90.88,
6/22/2025,1,Chupa,plaindhi,Beige,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,4,4,btplaindhi,btplaindhiBeigeL,,¥432.00,$60.59,
6/22/2025,1,Chupa,plaindhi,Brown,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,6,6,btplaindhi,btplaindhiBrownXL,,¥648.00,$90.88,
6/22/2025,1,Chupa,plaindhi,Brown,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,4,4,btplaindhi,btplaindhiBrownL,,¥432.00,$60.59,
6/22/2025,1,Chupa,plaindhi,Orange,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,2,2,btplaindhi,btplaindhiOrangeXL,,¥216.00,$30.29,
6/22/2025,1,Chupa,plaindhi,Orange,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,2,2,btplaindhi,btplaindhiOrangeL,,¥216.00,$30.29,
6/22/2025,1,Chupa,plaindhi,Red,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,8,8,btplaindhi,btplaindhiRedXL,,¥864.00,$121.18,
6/22/2025,1,Chupa,plaindhi,Red,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,6,6,btplaindhi,btplaindhiRedL,,¥648.00,$90.88,
6/22/2025,1,Chupa,plaindhi,Black,XL,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,8,8,btplaindhi,btplaindhiBlackXL,,¥864.00,$121.18,
6/22/2025,1,Chupa,plaindhi,Black,L,Bhod Thakchen,Yangkar Chupa,¥108.00,$15.15,TRUE,6,6,btplaindhi,btplaindhiBlackL,,¥648.00,$90.88,
6/22/2025,1,Chupa,fullGuchen,Burgundy,XL,Bhod Thakchen,Guchen Chupa,¥90.00,$12.62,TRUE,2,2,btfullGuchen,btfullGuchenBurgundyXL,,¥180.00,$25.25,
6/22/2025,1,Chupa,fullGuchen,Burgundy,L,Bhod Thakchen,Guchen Chupa,¥90.00,$12.62,TRUE,1,1,btfullGuchen,btfullGuchenBurgundyL,,¥90.00,$12.62,
6/22/2025,1,Chupa,fullGuchen,Purple,XL,Bhod Thakchen,Guchen Chupa,¥90.00,$12.62,TRUE,2,2,btfullGuchen,btfullGuchenPurpleXL,,¥180.00,$25.25,
6/22/2025,1,Chupa,fullGuchen,Purple,L,Bhod Thakchen,Guchen Chupa,¥90.00,$12.62,TRUE,1,1,btfullGuchen,btfullGuchenPurpleL,,¥90.00,$12.62,
