ORDER DATE,BatchNumber,Category,Style,Color / Type,Size,Seller,Item name,CNY Per,USD Per,Arrived?,Quantity,Quantity Arrived,SKU Main,SKU Specific,SKU Number,Total CNY,Total USD,Notes
10/30/2025,4,Jewelry,smallPachap,Chain,N/A,Gyencha,Gachung Pachap,¥38.00,$5.41,FALSE,8,,gcsmallPachap,gcsmallPachapChain,,¥304.00,$43.24,
10/30/2025,4,Jewelry,Ghawu,GoldGuy,N/A,Gyencha,Small Ghawu,¥8.00,$1.14,FALSE,3,,gcGhawu,gcGhawuGoldGuy,,¥24.00,$3.41,
10/30/2025,4,Jewelry,Ghawu,BlueGirl,N/A,Gyencha,Small Ghawu,¥12.00,$1.71,FALSE,4,,gcGhawu,gcGhawuBlueGirl,,¥48.00,$6.83,
10/30/2025,4,Jewelry,Knife,GirlGold,N/A,Gyencha,Girl's Decor Dagger,¥28.00,$3.98,FALSE,5,,gcKnife,gcKnifeGirlGold,,¥140.00,$19.91,
10/30/2025,4,Jewelry,Knife,GirlSilver,N/A,Gyencha,Girl's Decor Dagger,¥28.00,$3.98,FALSE,10,,gcKnife,gcKnifeGirlSilver,,¥280.00,$39.83,
10/30/2025,4,Jewelry,Lulong,GoldRed,N/A,TaoBao,Red Golden Lulongs,¥80.00,$11.38,FALSE,1,,tbLulong,tbLulongGoldRed,,¥80.00,$11.38,"*quantity/pricepertains to pair, but we bought as individual"
10/30/2025,4,Chupa,Elegant,BlackGray,L,Phama Tsering Logya,Elegant Chupa,¥220.00,$31.29,FALSE,3,,ptlElegant,ptlElegantBlackGrayL,,¥660.00,$93.88,
10/30/2025,4,Chupa,Elegant,BlackGray,M,Phama Tsering Logya,Elegant Chupa,¥220.00,$31.29,FALSE,1,,ptlElegant,ptlElegantBlackGrayM,,¥220.00,$31.29,
10/30/2025,4,Chupa,Sparkle,BrownBlack,XXL,Phama Tsering Logya,Sparkle Chupas,¥175.00,$24.89,FALSE,2,,ptlSparkle,ptlSparkleBrownBlackXXL,,¥350.00,$49.79,
10/30/2025,4,Chupa,Sparkle,BrownBlack,XL,Phama Tsering Logya,Sparkle Chupas,¥175.00,$24.89,FALSE,3,,ptlSparkle,ptlSparkleBrownBlackXL,,¥525.00,$74.68,
10/30/2025,4,Chupa,Sparkle,BrownBlack,L,Phama Tsering Logya,Sparkle Chupas,¥175.00,$24.89,FALSE,3,,ptlSparkle,ptlSparkleBrownBlackL,,¥525.00,$74.68,
10/30/2025,4,Chupa,FurLinedGuchen,Purple,XXL,Phama Tsering Logya,Fur-Lined Guchen Chupa,¥160.00,$22.76,FALSE,3,,ptlFurLinedGuchen,ptlFurLinedGuchenPurpleXXL,,¥480.00,$68.28,
10/30/2025,4,Chupa,FurLinedGuchen,Purple,XL,Phama Tsering Logya,Fur-Lined Guchen Chupa,¥160.00,$22.76,FALSE,3,,ptlFurLinedGuchen,ptlFurLinedGuchenPurpleXL,,¥480.00,$68.28,
10/30/2025,4,Chupa,FurLinedGuchen,Purple,L,Phama Tsering Logya,Fur-Lined Guchen Chupa,¥160.00,$22.76,FALSE,2,,ptlFurLinedGuchen,ptlFurLinedGuchenPurpleL,,¥320.00,$45.52,
10/30/2025,4,Chupa,FurLinedGuchen,Black,XL,Phama Tsering Logya,Fur-Lined Guchen Chupa,¥160.00,$22.76,FALSE,1,,ptlFurLinedGuchen,ptlFurLinedGuchenBlackXL,,¥160.00,$22.76,
10/30/2025,4,Chupa,FurLinedGuchen,Black,L,Phama Tsering Logya,Fur-Lined Guchen Chupa,¥160.00,$22.76,FALSE,1,,ptlFurLinedGuchen,ptlFurLinedGuchenBlackL,,¥160.00,$22.76,
