ORDER DATE,Category,Style,Color / Type,Size,Item name,CNY Per,USD Per,Quantity
8/15/2025,Phone Cases,Snowlion,iPhone,13,Snowlion,25,3.5,1
8/15/2025,Phone Cases,Endless knot,iPhone,13,Endless knot,25,3.5,1
8/15/2025,Phone Cases,Snowlion,iPhone,13 Pro,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,13 PMax,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,14,Snowlion,25,3.5,4
8/15/2025,Phone Cases,Snowlion,iPhone,14+,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,14 Pro,Snowlion,25,3.5,4
8/15/2025,Phone Cases,Kangba Hanzi,iPhone,14 Pro,Kangba Hanzi,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,14 PMax,Snowlion,25,3.5,4
8/15/2025,Phone Cases,Kangba Hanzi,iPhone,14 PMax,Kangba Hanzi,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,15,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,16,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,15+,Snowlion,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,16+,Snowlion,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,15 Pro,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia la,iPhone,15 Pro,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba Hanzi,iPhone,15 Pro,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Colorful Pangden,iPhone,15 Pro,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Traveling with Cranes,iPhone,15 Pro,Traveling with Cranes,25,3.5,2
8/15/2025,Phone Cases,Tashidelek Blue,iPhone,15 Pro,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,Tashidelek Pink,iPhone,15 Pro,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,15 Pro,Dzi,25,3.5,3
8/15/2025,Phone Cases,Endless knot,iPhone,15 Pro,Endless knot,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,15 PMax,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia la,iPhone,15 PMax,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba Hanzi,iPhone,15 PMax,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Colorful Pangden,iPhone,15 PMax,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Traveling with Cranes,iPhone,15 PMax,Traveling with Cranes,25,3.5,2
8/15/2025,Phone Cases,Tashidelek Blue,iPhone,15 PMax,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,Tashidelek Pink,iPhone,15 PMax,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,15 PMax,Dzi,25,3.5,3
8/15/2025,Phone Cases,Endless knot,iPhone,15 PMax,Endless knot,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,16 Pro,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia la,iPhone,16 Pro,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba Hanzi,iPhone,16 Pro,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Colorful Pangden,iPhone,16 Pro,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Traveling with Cranes,iPhone,16 Pro,Traveling with Cranes,25,3.5,2
8/15/2025,Phone Cases,Tashidelek Blue,iPhone,16 Pro,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,Tashidelek Pink,iPhone,16 Pro,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,16 Pro,Dzi,25,3.5,3
8/15/2025,Phone Cases,Endless knot,iPhone,16 Pro,Endless knot,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,16 PMax,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia la,iPhone,16 PMax,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba Hanzi,iPhone,16 PMax,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Colorful Pangden,iPhone,16 PMax,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Traveling with Cranes,iPhone,16 PMax,Traveling with Cranes,25,3.5,3
8/15/2025,Phone Cases,Tashidelek Blue,iPhone,16 PMax,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,Tashidelek Pink,iPhone,16 PMax,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,16 PMax,Dzi,25,3.5,3
8/15/2025,Phone Cases,Endless knot,iPhone,16 PMax,Endless knot,25,3.5,3
