ORDER DATE,Category,Style,Color / Type,Size,Item name,CNY Per,USD Per,Quantity
8/15/2025,Phone Cases,Snowlion,iPhone,13,Snowlion,25,3.5,1
8/15/2025,Phone Cases,Knot,iPhone,13,Endless knot,25,3.5,1
8/15/2025,Phone Cases,Snowlion,iPhone,13 Pro,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,13 Pro Max,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,14,Snowlion,25,3.5,4
8/15/2025,Phone Cases,Snowlion,iPhone,14 Plus,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,14 Pro,Snowlion,25,3.5,4
8/15/2025,Phone Cases,Kangba,iPhone,14 Pro,Kangba Hanzi,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,14 Pro Max,Snowlion,25,3.5,4
8/15/2025,Phone Cases,Kangba,iPhone,14 Pro Max,Kangba Hanzi,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,15,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,16,Snowlion,25,3.5,2
8/15/2025,Phone Cases,Snowlion,iPhone,15 Plus,Snowlion,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,16 Plus,Snowlion,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,15 Pro,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia,iPhone,15 Pro,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba,iPhone,15 Pro,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Pangden,iPhone,15 Pro,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Cranes,iPhone,15 Pro,Traveling with Cranes,25,3.5,2
8/15/2025,Phone Cases,TashidelekBlue,iPhone,15 Pro,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,TashidelekPink,iPhone,15 Pro,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,15 Pro,Dzi,25,3.5,3
8/15/2025,Phone Cases,Knot,iPhone,15 Pro,Endless knot,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,15 Pro Max,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia,iPhone,15 Pro Max,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba,iPhone,15 Pro Max,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Pangden,iPhone,15 Pro Max,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Cranes,iPhone,15 Pro Max,Traveling with Cranes,25,3.5,2
8/15/2025,Phone Cases,TashidelekBlue,iPhone,15 Pro Max,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,TashidelekPink,iPhone,15 Pro Max,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,15 Pro Max,Dzi,25,3.5,3
8/15/2025,Phone Cases,Knot,iPhone,15 Pro Max,Endless knot,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,16 Pro,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia,iPhone,16 Pro,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba,iPhone,16 Pro,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Pangden,iPhone,16 Pro,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Cranes,iPhone,16 Pro,Traveling with Cranes,25,3.5,2
8/15/2025,Phone Cases,TashidelekBlue,iPhone,16 Pro,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,TashidelekPink,iPhone,16 Pro,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,16 Pro,Dzi,25,3.5,3
8/15/2025,Phone Cases,Knot,iPhone,16 Pro,Endless knot,25,3.5,3
8/15/2025,Phone Cases,Snowlion,iPhone,16 Pro Max,Snowlion,25,3.5,8
8/15/2025,Phone Cases,Ajia,iPhone,16 Pro Max,Ajia la,25,3.5,6
8/15/2025,Phone Cases,Kangba,iPhone,16 Pro Max,Kangba Hanzi,25,3.5,3
8/15/2025,Phone Cases,Pangden,iPhone,16 Pro Max,Colorful Pangden,25,3.5,3
8/15/2025,Phone Cases,Cranes,iPhone,16 Pro Max,Traveling with Cranes,25,3.5,3
8/15/2025,Phone Cases,TashidelekBlue,iPhone,16 Pro Max,Tashidelek Blue,25,3.5,3
8/15/2025,Phone Cases,TashidelekPink,iPhone,16 Pro Max,Tashidelek Pink,25,3.5,3
8/15/2025,Phone Cases,Dzi,iPhone,16 Pro Max,Dzi,25,3.5,3
8/15/2025,Phone Cases,Knot,iPhone,16 Pro Max,Endless knot,25,3.5,3
