SKU Name,Full SKU,Types,Sizes,Quantity in Stock,Item Name,Supplier Name,Category,Price,Price USD,Sale Price,Profit Margin,Mark Up %,Stock,Status,Notes
btplaindhi,btplaindhiBeigeXL,Beige,XL,6,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,In stock,
,btplaindhiBeigeL,Beige,L,2,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiBrownXL,Brown,XL,4,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiBrownL,Brown,L,3,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiOrangeXL,Orange,XL,0,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiOrangeL,Orange,L,2,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiRedXL,Red,XL,3,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiRedL,Red,L,4,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiBlackXL,Black,XL,7,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiBlackL,Black,L,4,Yangkar Chupa,Bhod Thakchen,Chupa,¥108.00,$15.15,$70.00,$54.85,462.13%,,,
,btplaindhiOrangeXL,Orange,XL,0,Guchen Chupa,Bhod Thakchen,Chupa,¥90.00,$12.62,$75.00,$62.38,594.17%,,,
,btplaindhiOrangeL,Orange,L,2,Guchen Chupa,Bhod Thakchen,Chupa,¥90.00,$12.62,$75.00,$62.38,594.17%,,,
dfLhasaOG,dfLhasaOGGreenL,Green,L,2,Classic Lhasa Chupa,DeFish,Chupa,¥145.00,$20.34,$65.00,$44.66,319.62%,,Re-purchase needed,
,dfLhasaOGGreenXL,Green,XL,4,Guchen Chupa,DeFish,Chupa,¥90.00,$12.62,$75.00,$62.38,594.17%,,,
,dfLhasaOGBlueXL,Blue,XL,4,Guchen Chupa,DeFish,Chupa,¥90.00,$12.62,$75.00,$62.38,594.17%,,,
